pnt_id,x,y,fall09,fall11,spring10,spring11,cti,dem,precip,slope,mlra,lru
846,605512.0434,3522905.497,27.602834,27.285957,18.995229,16.569322,6.344724,4935.89746,17.720273,4.581592,41,41-3AZ
847,468582.9153,3490393.158,29.025632,27.833871,23.04837,25.892709,7.709779,3745.911621,20.422353,3.336224,41,41-3AZ
848,620208.9227,3594009.555,27.104196,28.570188,26.674888,28.673597,6.426911,4922.085937,15.807331,3.209417,41,41-3AZ
849,449743.9708,3536795.482,33.198024,35.164482,28.515689,30.214923,4.272746,4175.342285,16.693807,52.163726,41,41-3AZ
850,619274.572,3582160.292,16.178129,19.182916,10.66579,13.850574,6.722177,4490.861816,13.849549,1.88786,41,41-3AZ
851,585381.8263,3612228.733,26.487262,33.740283,26.488334,23.224649,4.81923,4611.762695,16.117197,18.68531,41,41-3AZ
852,436744.7273,3518779.284,25.302465,23.219533,19.942802,20.435382,8.198689,3171.095947,15.896685,2.310802,41,41-3AZ
853,577939.3197,3473298.617,33.86565,35.666828,26.700822,17.833158,9.564421,4500.213867,16.68045,2.58598,41,41-3AZ
854,617571.5004,3579986.704,19.548015,27.023427,16.883527,15.568473,8.24017,4408.256835,13.70571,1.759463,41,41-3AZ
855,502805.4421,3467662.96,27.894762,24.393928,20.355051,20.231357,4.104977,4143.650878,18.182399,26.533987,41,41-3AZ
856,629015.8402,3515748.164,11.350133,17.634115,8.085173,7.487042,11.690411,4360.599121,13.086649,0.735706,41,41-3AZ
857,584117.1829,3617153.463,29.042654,31.310684,28.292865,28.117151,9.489729,4764.05371,16.284606,10.153452,41,41-3AZ
858,633619.7512,3477882.138,14.785249,16.990249,7.757038,7.686018,8.182283,4040.582519,12.940917,0.723216,41,41-3AZ
859,615838.9749,3592436.823,25.035902,24.062919,15.56463,17.209131,4.333633,5568.513671,18.400854,14.955502,41,41-3AZ
860,564856.2054,3574126.661,18.205945,10.283727,15.929503,7.899913,6.850417,3672.702636,14.835206,5.998345,41,41-3AZ
861,592336.2001,3499280.63,29.625694,33.743843,25.167173,29.194015,7.139032,4410.70166,13.722542,7.24069,41,41-3AZ
862,441195.374,3513433.08,33.045227,35.551906,28.840923,31,3.886528,4131.469238,19.803365,76.008666,41,41-3AZ
863,546498.7875,3533907.898,27.545194,31.148218,23.467716,21,6.615311,3942.64331,15.478616,4.301971,41,41-3AZ
864,642777.684,3471724.952,24.930053,25.879879,18.687854,17.757801,7.763178,4168.538574,13.915478,1.241244,41,41-3AZ
865,586210.8077,3481045.414,38.39664,32.275783,30.296577,23.408226,11.313077,4249.452636,14.109128,1.600013,41,41-3AZ
866,629048.2097,3565325.712,32.979404,33.338027,31.223512,23.557258,3.517485,6667.611328,20.971857,55.114341,41,41-3AZ
867,552791.0895,3505197.721,21.646129,25.853958,16.09889,13,6.74232,5020.163085,17.552762,22.466915,41,41-3AZ
868,447680.3373,3527672.136,39.973419,37.730972,36.96492,34.292934,6.783763,3603.58081,15.744269,2.487226,41,41-3AZ
869,623483.1238,3555199.457,23.643777,26.662479,19.309293,16.933191,10.860485,4381.497558,13.52034,1.417961,41,41-3AZ
870,438250.0028,3540203.726,27.608579,30.61882,27.264175,28.363489,6.493619,3312.499267,15.78307,24.53762,41,41-3AZ
871,570696.6375,3479930.86,36.387287,42.677955,31.001905,32.235115,7.545627,4836.689453,18.61432,3.900502,41,41-3AZ
872,646551.8085,3548491.799,17.927223,26.253414,14.738654,16.97335,7.433746,5004.134277,15.970442,2.392213,41,41-3AZ
873,435332.3263,3506961.49,24.088991,20.639547,19.103351,19.436141,4.443441,3137.574218,15.96966,30.54137,41,41-3AZ
874,575544.4267,3643037.677,31.13132,32.250858,29.55792,30.55792,4.275083,4424.291015,17.522001,52.387008,41,41-3AZ
875,485889.0043,3519486.062,18.917793,19.687368,16.604236,17.263418,7.264529,3762.691162,15.820961,6.668821,41,41-3AZ
876,483490.0782,3538443.549,23.214292,21.604526,18.700754,20.984256,6.537492,3843.271484,15.265565,1.341007,41,41-3AZ
877,593250.2789,3546538.507,12.189996,18.605627,9.845265,8.610166,9.065542,4589.93164,17.481182,3.862027,41,41-3AZ
878,588540.1424,3604835.997,29.996311,35.304672,36,27.222738,8.856165,4463.315917,15.705687,0.573166,41,41-3AZ
879,639929.5834,3545055.755,36.978908,37.251407,29.723899,28.973772,7.740383,4675.658203,14.682995,0.665811,41,41-3AZ
880,595012.8622,3477223.234,37.280872,38.228416,28.314306,25.302547,6.400586,4888.942871,16.120489,12.270501,41,41-3AZ
881,550718.3045,3533881.954,36.040073,38.425872,27.260019,23.806409,9.450496,4242.912597,15.553232,1.046834,41,41-3AZ
882,622637.192,3530265.008,15.050337,22.487033,12.783545,13.70949,8.19381,4373.169921,13.352688,9.021567,41,41-3AZ
883,658650.9883,3561425.402,22.995466,24.93717,20.676359,20.409729,9.161104,4099.291015,12.845475,2.575644,41,41-3AZ
884,594876.6958,3468084.039,17.880706,19.81903,12.66864,12.742856,7.323028,4555.219726,14.621819,2.56344,41,41-3AZ
885,582241.5591,3519035.474,25.94046,34.522415,21.590276,21.443855,4.682478,4172.915527,13.559381,16.373945,41,41-3AZ
886,590635.4979,3543532.087,16.88746,32.396755,15.010401,18.315717,12.566414,4624.280273,16.552013,3.007725,41,41-3AZ
887,504081.2847,3486368.341,31.654396,36.568775,24.753446,23.882637,4.339985,4257.289062,18.204231,49.956638,41,41-3AZ
888,538575.362,3533161.544,34.555797,36.98563,28.666639,30.513679,5.701289,4041.135009,15.70365,5.308131,41,41-3AZ
889,517839.2519,3518402.017,28.841056,37.467967,22.518198,30.28306,5.849965,4279.081542,22.317237,7.562847,41,41-3AZ
890,624493.1919,3564105.437,18.750566,22.000177,13.813482,11.996526,8.182307,4587.500976,14.352869,4.042575,41,41-3AZ
891,563667.0156,3488214.459,38.266941,42.11518,32.891189,31.614419,7.485463,4889.45996,17.333543,3.301212,41,41-3AZ
892,581497.7314,3569602.72,26.933176,22.997489,22.766105,13.791139,10.031659,4821.364746,15.377239,2.218726,41,41-3AZ
893,574561.7702,3550677.419,33.318519,39.883045,27.944845,28.844528,6.00812,4125.998535,14.385412,41.097553,41,41-3AZ
894,496134.1187,3604111.877,33.614971,31.169429,30.253685,28.888879,4.859714,3683.037109,16.015686,39.05558,41,41-3AZ
895,613790.9858,3486370.796,13.573511,8.494036,9.440406,5.559593,10.221732,4282.087402,13.093141,1.81595,41,41-3AZ
896,492697.056,3528351.846,29.320743,26.945306,23.407009,20.728015,5.561759,3643.32666,14.23304,10.232663,41,41-3AZ
897,563448.9232,3524766.267,29.625045,39.402496,23.859294,20.896648,7.137068,4440.387207,15.231479,4.182358,41,41-3AZ
898,614185.606,3492318.852,10.638322,5.865937,6.330078,2.834884,11.024439,4202.366699,12.502875,0.994135,41,41-3AZ
899,580702.5393,3566542.618,33.171211,26.443246,25.177833,14.18878,7.948864,4683.333984,15.520659,1.71595,41,41-3AZ
900,483065.4446,3513463.21,20.649328,17.171699,14.690443,13.955257,12.085535,3532.155517,16.167308,2.94111,41,41-3AZ
901,465328.5605,3499016.93,45.313713,42.019111,38.915954,38.159942,3.182107,4548.137695,21.371044,47.777133,41,41-3AZ
902,554947.7019,3550120.362,31.190837,34.884361,26.045372,27.256242,8.704188,4578.044433,15.715875,26.909957,41,41-3AZ
903,665901.4265,3491623.1,23.849884,15.332229,19.175748,11.728455,12.131293,4508.220703,15.981239,0.025499,41,41-3AZ
904,515386.6559,3473754.478,35.750835,41.076614,27.525783,33.88142,8.304368,3890.766845,16.408235,6.974343,41,41-3AZ
905,480276.9523,3500542.299,26.395303,19.984249,17.295507,15.543806,4.516203,3732.678955,18.173709,29.153997,41,41-3AZ
906,609078.4443,3521357.692,16.886259,20.555301,19.454704,15.543552,7.881361,4758.872558,16.339368,1.213769,41,41-3AZ
907,602175.0843,3566167.072,9.676179,13.595321,8.363696,9.218486,7.775856,4203.077636,13.140349,0.943987,41,41-3AZ
908,603205.2589,3473464.94,33.752197,35.336105,24.948589,26.636421,10.245819,4915.077148,13.592863,3.002543,41,41-3AZ
909,597254.2256,3570570.731,28.982032,33.619617,23.031515,17.619617,4.894914,4619.896972,15.643344,29.241207,41,41-3AZ
910,497495.2912,3502597.23,21.606233,19.067964,13.264523,16.907783,6.502399,3286.494628,15.792821,14.475798,41,41-3AZ
911,648120.1506,3564217.845,29.253509,31.349597,24.221298,18.401367,7.666709,4124.381347,13.189164,1.104983,41,41-3AZ
912,442336.4541,3492631.732,30.678085,36.97089,28.028888,31.269035,11.06847,3961.456542,19.229345,5.724089,41,41-3AZ
913,628835.9418,3501841.587,19.041625,34.440708,15.651577,21.699228,9.055723,4180.30371,11.707941,0.865438,41,41-3AZ
914,629945.6071,3556751.17,26.84519,29.672395,20.681388,17.192924,6.489725,4856.10791,14.419975,11.098273,41,41-3AZ
915,528550.8091,3604292.057,37.579021,28.992986,34.335041,29.837949,6.62856,4229.327636,20.16434,7.439633,41,41-3AZ
916,595486.1144,3605862.022,29.242464,36.005054,32.933952,27.278377,7.919427,4536.182617,15.210853,0.652248,41,41-3AZ
917,558764.6296,3626506.42,31.563741,31.37873,26.951868,27.722913,3.415284,4272.585937,17.04433,57.214221,41,41-3AZ
918,588744.7535,3589756.229,28.188129,33.422645,24.214279,26.213689,5.370187,5007.594238,16.158397,55.929122,41,41-3AZ
919,501924.2175,3497765.529,30.004657,17.641994,20.551994,16.170589,5.558707,3754.995849,17.275539,13.348145,41,41-3AZ
920,576721.6229,3554853.905,27.204338,30.453094,21.640413,21.179622,4.85596,4363.598632,14.863507,12.538805,41,41-3AZ
921,561613.5287,3553512.543,36.088539,42.920047,33.016273,31.939306,7.131021,3840.497314,14.974745,20.656749,41,41-3AZ
922,592640.1853,3555435.545,30.980211,32.848484,25.950777,20.848485,7.376372,4683.53125,16.011598,11.012252,41,41-3AZ
923,549606.2073,3511156.817,43.1124,46.391006,35.421379,26.628767,7.214965,4985.030761,16.47451,5.287325,41,41-3AZ
924,618574.5078,3529895.358,0,3.271744,0,0,9.165161,4400.1958,13.442372,1.53457,41,41-3AZ
925,504042.1715,3595382.168,33.988269,31.546262,27.43003,30.692161,7.882702,3174.636962,13.944774,2.471866,41,41-3AZ
926,466829.7101,3495114.211,38.720294,39.642997,32.162864,36.356082,5.512458,3650.480957,19.650732,9.978524,41,41-3AZ
927,562367.4182,3621572.327,21.847242,19.194696,18.985177,18.415498,5.225519,4360.594238,16.845407,24.459257,41,41-3AZ
928,678815.204,3534332.87,44.496757,42.200675,34.688686,32.056446,7.949159,4498.083007,14.396471,2.917478,41,41-3AZ
929,634533.3405,3539894.293,10.674713,17.393711,8.939407,12.710316,8.964406,4561.617675,14.099189,3.597491,41,41-3AZ
930,552145.4616,3607007.121,27.512256,21.755441,22.881271,20.663125,4.000483,3721.058593,14.840114,27.432367,41,41-3AZ
931,590643.1624,3599996.199,27.863594,36,32.473663,25.230005,6.755956,4419.038574,15.570144,1.428862,41,41-3AZ
932,627496.8136,3570041.367,31.066457,33.997386,25.625442,23.43494,4.874681,5047.945312,16.756235,12.123888,41,41-3AZ
933,564323.0429,3501690.93,22.455432,26.967088,18.348194,15.36077,9.620256,4224.953125,13.933395,1.579994,41,41-3AZ
934,635453.5611,3469671.968,17.459461,15.691896,9.945815,11.656628,8.943015,3947.483398,13.096552,0.53916,41,41-3AZ
935,656277.0606,3475211.803,29.929597,17.982204,25.460365,14.114402,8.830938,4167.165527,14.540972,1.915241,41,41-3AZ
936,446147.878,3499073.261,39.628051,34.284324,37.478397,28.623853,6.996762,3699.287841,17.530702,1.231759,41,41-3AZ
937,534150.6309,3570326.508,32.511066,28.866519,26.848833,25.099367,5.082176,3791.016601,15.868352,40.64265,41,41-3AZ
938,532858.2801,3532502.554,32.922779,27.969905,26.500003,19.892679,3.915405,4082.445556,16.064834,20.898864,41,41-3AZ
939,585030.894,3630847.831,29.72772,28.358537,24.212116,23.784511,4.228762,4314.730468,16.242721,47.351589,41,41-3AZ
940,586514.7733,3512963.835,20.261613,21.243726,13.799957,9.659797,7.529133,4353.232421,13.177954,1.277876,41,41-3AZ
941,606550.7084,3591639.712,16.055936,17.641334,14.123125,13.790406,9.784036,4587.34375,14.752126,1.652615,41,41-3AZ
942,518919.1449,3533321.272,13.051693,14.83286,8.324873,16.216329,6.715068,3371.299316,13.949678,3.343202,41,41-3AZ
943,579888.6793,3537637.198,30.092943,37.852943,24.064407,27.794311,10.426689,4186.350585,14.820055,4.666252,41,41-3AZ
944,631722.9197,3546530.443,32.227764,34.370849,28.162229,23.347915,9.761551,4477.738769,13.80342,0.582208,41,41-3AZ
945,546337.4162,3628826.05,27.493513,36.804447,27.332138,32.44765,4.905188,4564.790527,20.285989,39.665729,41,41-3AZ
946,548386.6964,3620046.697,36.561122,30.97985,32.596092,29.681447,4.274507,5461.35205,18.71187,16.941104,41,41-3AZ
947,666920.2706,3470900.212,19.971574,21.207866,18.104171,16.533967,11.493311,3842.53125,15.14324,0.398597,41,41-3AZ
948,612570.7256,3593756.352,20.567033,24.822484,18.069156,17.67086,4.492309,5279.902832,17.738462,30.832052,41,41-3AZ
949,608454.3189,3597747.349,28.120796,32.255233,26,26.625724,7.254154,5201.728515,16.872474,22.566635,41,41-3AZ
950,537397.3663,3571557.295,31.21463,33.530029,23.437082,25.028461,7.325379,3883.195068,16.414344,4.768534,41,41-3AZ
951,639103.8636,3499463.187,33.315837,33.998016,27.286828,26.323745,5.066291,5102.500976,15.92376,55.946918,41,41-3AZ
952,613709.0299,3523320.357,17.14644,20.801416,11.788324,8.359679,8.713685,4524.544433,14.573606,2.224088,41,41-3AZ
953,591518.1248,3482621.612,40.644767,38.784072,31.256996,29.955917,5.66693,4783.268066,15.931605,34.58385,41,41-3AZ
954,666334.2063,3551691.843,10.672172,11.149771,9.21962,10.149771,8.36597,4353.926269,14.318161,2.74909,41,41-3AZ
955,641049.4231,3493234.861,25.093519,24.871431,21.166135,19.196052,5.647532,4766.055664,14.591018,31.967184,41,41-3AZ
956,669651.8291,3473757.072,27.789129,25.650001,23.424093,19.290941,7.375074,4009.031738,15.356429,2.024194,41,41-3AZ
957,468639.8858,3524528.661,20.186584,20.375333,15.850181,18.910154,8.324276,3362.118652,16.224864,1.403909,41,41-3AZ
958,643231.3243,3555288.453,40.166915,32.720249,30.296314,22.933694,8.345353,4921.204589,15.411271,3.177365,41,41-3AZ
959,495294.1482,3487320.377,37.540847,35.617336,26.935258,31.774038,6.90988,3572.134765,17.355316,14.539612,41,41-3AZ
960,542371.2337,3623064.735,17.715848,21.393804,15.338985,16.196901,5.280152,3643.27832,16.520393,25.398712,41,41-3AZ
961,496822.4321,3591191.982,24.842721,25.814102,22.808544,23.343175,7.40279,2941.54541,13.643213,5.598721,41,41-3AZ
962,549699.904,3542110.953,21.92587,22.473569,20.542627,13.562684,8.30578,4010.575195,15.285738,5.148184,41,41-3AZ
963,465170.3178,3509381.368,26.159473,18.61547,15.739256,18.655431,8.030957,3345.079589,16.321643,1.346954,41,41-3AZ
964,490341.3557,3510748.465,27.64932,26.757596,18.799678,16.260086,10.268821,3218.414306,15.392687,1.456701,41,41-3AZ
965,663276.8592,3492389.994,25.427198,21.563606,17.434188,14.824245,7.59577,4707.783691,16.250501,6.26343,41,41-3AZ
966,657342.9791,3470068.97,19.953947,21.539268,14.966824,14.49629,6.089598,4061.186523,14.276547,5.069796,41,41-3AZ
967,509168.9528,3576286.367,10.29617,15.090918,1.91161,8.963946,5.551279,2822.241455,13.726232,20.617702,41,41-3AZ
968,569437.3212,3522451.03,25.483318,21.290361,20.538862,13.181467,7.345737,3985.176025,13.885791,2.795625,41,41-3AZ
969,541296.0277,3557422.332,34.435466,28.3682,27.730234,25.758251,4.630692,4411.385742,18.726755,56.336917,41,41-3AZ
970,443979.2415,3520252.931,34.002777,33.152259,30.096509,29.20899,5.020482,4046.766845,20.053525,39.384967,41,41-3AZ
971,579411.13,3531956.45,22.870862,26.6312,15.962031,16.722368,5.879997,4149.63916,14.675034,4.47551,41,41-3AZ
972,576023.9033,3479610.537,27.135545,28.38211,20.643976,16.972867,10.711043,4507.310058,15.646751,1.298484,41,41-3AZ
973,591977.6086,3522098.33,35.317558,44.472179,29.443174,29.224115,4.983405,4799.384277,15.014325,29.831102,41,41-3AZ
974,679293.4282,3470592.092,37.136993,0,28.979677,0,5.205226,5172.269531,16.13286,6.212754,41,41-3AZ
975,605062.9108,3512064.821,32.454593,41.321022,27.761838,24.561273,6.088659,5212.505859,16.970911,4.174844,41,41-3AZ
976,666813.0256,3499765.291,31.491796,24.630994,22.013488,13.892554,9.119915,4757.875976,17.193622,3.386991,41,41-3AZ
977,530138.6463,3530624.071,37.663772,36.892211,31.283899,26.889926,5.847958,4171.558105,16.270229,6.546078,41,41-3AZ
978,632775.2736,3530675.779,30.541704,32.175121,24.810579,23.309558,7.603811,4452.791015,13.775202,0.713563,41,41-3AZ
979,492765.2296,3487553.145,43.139125,36.975555,38.095447,32.459529,6.217371,3891.408691,18.870845,3.582992,41,41-3AZ
980,524079.113,3574304.075,18.115329,22.931549,13.939847,17.852382,5.596107,2876.949462,15.234745,11.947615,41,41-3AZ
981,586350.5142,3469765.485,17.662105,16.27156,12.596671,8.782272,8.442846,4334.396484,15.183427,1.420896,41,41-3AZ
982,493256.9488,3603531.917,24.125913,21.938312,18.954973,21.179269,4.355638,3899.169189,15.682227,56.121784,41,41-3AZ
983,543464.1597,3542725.884,31.639688,27.805185,24.669006,20.432538,6.427453,3930.786376,15.729267,2.141115,41,41-3AZ
984,547983.3376,3508640.069,24.591667,31.883317,26.208984,24.2859,5.830141,5320.329589,16.678102,52.727199,41,41-3AZ
985,536987.2609,3520730.753,30.70528,42.237552,25.303512,26.556413,5.978652,4510.499511,16.041477,8.975957,41,41-3AZ
986,603743.9657,3626053.493,35.359046,31.718095,30.989831,30.63809,5.169973,6052.19873,17.502002,52.275897,41,41-3AZ
987,580972.9261,3516335.445,22.523448,29.422369,16.545711,20.652717,6.263478,4079.576171,13.394067,5.718838,41,41-3AZ
988,491382.7857,3498485.917,38.706741,39.097667,32.510189,35.664848,5.484086,3453.20996,16.536727,6.430831,41,41-3AZ
989,505263.9593,3473976.996,31.225524,27.746711,23.604883,25.062662,5.433955,3760.383544,17.759319,19.837808,41,41-3AZ
990,557232.6279,3567509.229,18.474586,12.541555,18.988222,12,4.596091,3363.123046,15.289699,29.489799,41,41-3AZ
991,578648.0357,3505361.529,19.559381,26.825185,12.174763,17.395048,7.341525,4032.589843,13.087843,1.215174,41,41-3AZ
992,510160.956,3498700,33.034034,34.733493,30.120872,28.956567,4.8176,4727.634765,21.977066,21.162771,41,41-3AZ
993,540191.0955,3536793.171,30.862878,32.38412,25.656684,24.620899,6.415225,3753.221679,15.464708,9.87439,41,41-3AZ
994,571702.2972,3625506.811,24.828317,23.287784,24.828317,26.760034,8.069862,3837.262695,15.390861,8.580197,41,41-3AZ
995,574068.5346,3511420.085,37.541194,38.332389,30.061716,26.744718,8.091746,3979.474365,13.11064,2.005832,41,41-3AZ
996,590056.4723,3632513.646,24.441928,23.106405,27.751649,21.738838,5.23687,3954.759033,13.778922,35.492534,41,41-3AZ
997,597454.9979,3542897.556,16.239427,16.629119,14.606622,9.022006,3.115916,4881.857421,17.92316,45.673202,41,41-3AZ
998,643102.1939,3544216.874,35.372798,35.838253,29.39631,22.799343,7.253706,4776.535156,15.434213,1.114579,41,41-3AZ
999,531826.3907,3591309.642,30.820171,31.001588,26.863073,28.908496,4.082158,5283.54541,21.758861,64.373664,41,41-3AZ
1000,633517.0812,3503749.716,25.835311,27.639627,21.241844,14.59286,12.827447,4360.700195,13.03367,1.794306,41,41-3AZ
1001,587116.6234,3563200.926,12.010033,19.401609,11.908625,9.838659,6.939336,4709.99414,16.264177,7.332062,41,41-3AZ
1002,582099.3562,3531741.745,17.907203,22.164419,13.681003,14.197205,6.149706,4321.947753,14.540736,3.977824,41,41-3AZ
1003,518149.9041,3467535.867,32.275894,34.150493,23.756378,22.004951,6.075566,3927.134033,17.095733,4.599275,41,41-3AZ
1004,574618.5058,3515816.172,40.98056,48.692131,35.998065,36.904369,9.008527,3764.297851,13.088574,1.227888,41,41-3AZ
1005,570342.0682,3622453.424,25.792579,26.912744,25.153682,27.905389,4.114047,4264.105957,15.6781,45.024078,41,41-3AZ
1006,603442.955,3525798.695,35.312126,43.73368,28.842653,29.799772,9.432974,4947.407714,18.263679,3.515809,41,41-3AZ
1007,530880.2757,3572466.808,25.033699,28.119646,24.957765,22.227298,4.847559,4543.296386,18.299013,50.767848,41,41-3AZ
1008,525194.825,3490249.705,33.65203,32.124118,27.744588,26.158138,5.538211,4161,19.054666,3.70742,41,41-3AZ
1009,501148.8113,3600745.872,27.367259,23.721073,25.341794,27.217821,8.187185,3505.901855,15.273101,4.390648,41,41-3AZ
1010,671254.5228,3495903.657,15.673448,12.261625,11.455266,7.723013,8.19746,4608.342773,16.081047,0.824492,41,41-3AZ
1011,534151.6953,3554806.645,28.792644,33.361339,24.224622,26.373748,7.186592,3124.046142,14.316742,2.184413,41,41-3AZ
1012,618268.1659,3611063.668,30.486061,28.490678,27.498294,26.496639,5.854985,3708.473632,12.63868,24.863824,41,41-3AZ
