"Rowid_","MASK","X","Y","SLOPE_PERCENT","COVER_FALL09","COVER_FALL11","COVER_SPRING10","COVER_SPRING11","CTI","DEM_AZ_FT","PRECIP_AVG"
,2038,311777.160481,4037370.219018,11.435147,24.000000,26.000000,27.000000,28.000000,7.089598,5945.965332,14.714180
,2039,287063.939623,4088571.311206,60.013450,0.000000,0.000000,12.000000,9.000000,3.822311,4542.723144,12.701975
,2040,315463.495765,4040798.563726,1.444041,24.000000,30.000000,27.000000,28.000000,10.342620,5773.713378,14.385441
,2041,296951.997065,4074436.252275,1.463026,23.000000,23.000000,20.000000,20.000000,10.531895,5258.299804,13.436621
,2042,274047.170440,4064782.866708,3.627474,29.000000,28.000000,27.000000,25.000000,8.302286,5142.922851,12.178747
,2043,258046.901574,3996574.013098,98.166931,3.000000,22.000000,24.000000,25.000000,3.841035,5755.671875,14.568905
,2044,321430.038943,4018088.912715,6.254473,36.000000,34.000000,33.000000,35.000000,5.678126,6125.378417,15.285441
,2045,315987.022945,4041339.738174,4.872749,30.000000,32.000000,29.000000,30.000000,7.180494,5744.226562,14.161425
,2046,267397.462920,4063332.232509,1.006150,31.000000,28.000000,30.000000,28.000000,9.584745,5095.505859,12.387409
,2047,282770.004681,4036949.433868,5.635918,18.000000,22.000000,21.000000,22.000000,5.782227,5427.645019,12.454337
,2048,286049.333676,3997991.648805,26.792505,24.000000,21.000000,22.000000,21.000000,5.139576,4097.555664,9.399611
,2049,300816.463229,4045756.260906,19.486534,28.000000,30.000000,28.000000,30.000000,4.947151,5919.912597,14.348039
,2050,257749.514598,3990621.350190,23.729257,21.000000,20.000000,20.000000,21.000000,5.037851,4426.057128,10.705518
,2051,284553.523426,4079248.746488,8.736161,12.000000,19.000000,14.000000,21.000000,6.730207,4709.723144,12.795282
,2052,343754.456094,4031471.402165,2.310858,28.000000,30.000000,29.000000,31.000000,5.980612,5650.905761,14.411819
,2053,337055.187765,4040343.080826,0.874393,14.000000,17.000000,15.000000,16.000000,6.952366,5357.778808,13.327566
,2054,298484.744186,4013362.212979,53.765434,14.000000,26.000000,12.000000,32.000000,5.136224,4255.695312,9.913784
,2055,279914.377066,3963493.440694,4.199814,19.000000,15.000000,15.000000,16.000000,6.481863,4527.712402,8.615359
,2056,270999.021421,3968690.049850,91.239471,0.000000,1.000000,30.000000,34.000000,4.384221,3433.406982,9.086619
,2057,255626.985640,4057036.832272,15.810366,22.000000,33.000000,26.000000,43.000000,5.667030,4776.585449,10.408667
,2058,271525.205817,4064989.364261,1.839258,26.000000,25.000000,24.000000,25.000000,7.818346,5046.362792,12.105912
,2059,273651.601608,4058505.439211,3.990732,30.000000,29.000000,27.000000,28.000000,7.380257,5152.123535,12.121267
,2060,321375.762507,4041183.956869,9.665290,36.000000,32.000000,34.000000,33.000000,7.188786,5838.141113,14.414180
,2061,279193.032393,4039187.031722,14.120818,24.000000,29.000000,23.000000,28.000000,8.433288,5507.970703,12.763393
,2062,279664.258079,4081326.833172,21.213882,24.000000,25.000000,22.000000,27.000000,4.862215,4576.011718,13.289377
,2063,291156.557584,4089947.510866,139.856094,0.000000,0.000000,18.000000,21.000000,3.263949,4737.522460,12.297251
,2064,265886.351230,4056149.597113,11.114141,32.000000,32.000000,31.000000,32.000000,5.508643,5218.476074,14.206307
,2065,321030.050026,4030227.992398,3.336331,28.000000,30.000000,29.000000,30.000000,6.306540,5923.485351,15.951189
,2066,326548.080960,4029078.252366,56.304908,14.000000,36.000000,35.000000,41.000000,3.886102,5671.923339,14.352764
,2067,346941.456399,4043974.674134,2.674759,24.000000,25.000000,24.000000,25.000000,7.220621,5556.468261,12.844889
,2068,290958.130673,4038999.725926,0.994604,18.000000,21.000000,19.000000,20.000000,9.221786,5112.374511,12.109062
,2069,248052.583683,4054417.768139,6.004842,20.000000,23.000000,25.000000,29.000000,7.510631,4397.309570,10.125202
,2070,270639.880958,4080630.647631,15.313395,27.000000,22.000000,24.000000,25.000000,4.089537,5000.654296,13.169299
,2071,333429.150136,4036907.609696,1.658267,29.000000,28.000000,23.000000,28.000000,7.698732,5550.459472,13.569298
,2072,274264.385222,4066464.385677,4.283339,25.000000,23.000000,22.000000,26.000000,5.363560,5157.692871,12.412211
,2073,326051.842453,4035998.347943,5.720830,24.000000,30.000000,27.000000,27.000000,7.020066,5768.494628,15.100008
,2074,308192.280034,4043566.825569,8.006525,20.000000,21.000000,25.000000,24.000000,6.347490,5707.051757,14.156700
,2075,276604.380361,4080898.580701,3.295994,19.000000,21.000000,21.000000,19.000000,8.110488,5803.049316,14.573236
,2076,346955.333097,4032820.182020,3.153528,36.000000,34.000000,32.000000,36.000000,6.768366,5754.807128,13.887409
,2077,248514.732612,4006412.820703,14.277559,31.000000,26.000000,32.000000,31.000000,5.769026,6558.850097,14.440952
,2078,280985.435820,4076231.698112,2.395195,18.000000,28.000000,13.000000,23.000000,9.035806,4428.726074,12.522448
,2079,287354.851726,3982595.130781,86.078163,0.000000,1.000000,39.000000,38.000000,3.749305,2913.140625,8.455516
,2080,295479.562157,4024755.120396,52.922851,17.000000,16.000000,17.000000,15.000000,4.235726,5589.854492,12.696070
,2081,282154.532282,4026693.892457,39.784481,29.000000,23.000000,23.000000,25.000000,4.926546,5434.716308,12.166148
,2082,346557.339989,4031280.374690,1.398358,31.000000,32.000000,28.000000,33.000000,8.092561,5727.604980,14.132684
,2083,266452.055678,4088302.422097,55.736907,0.000000,7.000000,20.000000,18.000000,4.994848,4515.046875,12.317723
,2084,279544.035521,4042973.972911,16.326717,25.000000,26.000000,22.000000,23.000000,4.718619,5412.562988,12.098825
,2085,329840.926478,4040457.499340,2.433766,18.000000,24.000000,20.000000,22.000000,8.567793,5514.010742,13.212211
,2086,265388.111569,4054564.922655,14.954636,32.000000,33.000000,30.000000,30.000000,5.211867,5350.815917,14.577174
,2087,331388.029733,4026943.341263,11.893445,27.000000,32.000000,27.000000,31.000000,6.907230,4367.715332,11.819691
,2088,312849.240168,4033408.184109,4.224174,15.000000,17.000000,20.000000,20.000000,6.070624,5449.540527,13.377172
,2089,252315.022571,4014225.682750,55.317638,14.000000,13.000000,11.000000,13.000000,4.414610,4546.398437,11.638982
,2090,253921.674401,4086467.503026,60.949432,18.000000,23.000000,16.000000,26.000000,7.917714,4989.304687,12.435833
,2091,318251.103578,4020320.383324,23.446249,27.000000,30.000000,33.000000,28.000000,5.049855,6143.792968,16.001977
,2092,272213.694635,4041326.408154,3.816653,31.000000,33.000000,28.000000,31.000000,8.811145,5702.303222,13.498432
,2093,299343.926873,4057602.783964,23.159700,20.000000,21.000000,21.000000,26.000000,5.755286,4835.533691,12.682291
,2094,278874.312854,4042898.783676,6.033895,22.000000,28.000000,23.000000,26.000000,5.020822,5445.667480,12.227172
,2095,273943.430843,4037390.493364,2.728745,26.000000,25.000000,26.000000,27.000000,8.011628,5575.859375,13.213393
,2096,314281.802356,4025801.301190,25.103555,32.000000,29.000000,29.000000,29.000000,4.693876,5422.854492,12.262999
,2097,265556.093983,4088320.238224,50.823219,0.000000,9.000000,19.000000,17.000000,3.988527,4126.551757,12.209061
,2098,276652.985810,4072515.821576,4.738961,23.000000,30.000000,23.000000,29.000000,8.258172,5080.861816,12.852370
,2099,316571.573231,4034716.852805,8.188263,25.000000,28.000000,25.000000,25.000000,6.101871,5722.518066,14.169692
,2100,262286.890487,3977171.935513,20.799377,17.000000,23.000000,15.000000,26.000000,3.783349,3979.243408,8.634651
,2101,233989.908754,4055727.423303,8.569552,25.000000,28.000000,23.000000,34.000000,6.461810,3825.015625,6.996067
,2102,261485.225997,4055409.169424,25.387435,27.000000,24.000000,26.000000,33.000000,5.529931,5307.857421,14.795283
,2103,278268.174495,4067450.190370,17.751777,25.000000,28.000000,21.000000,28.000000,5.551218,5115.010742,12.502762
,2104,279144.386109,4064375.676244,9.255094,26.000000,25.000000,22.000000,21.000000,6.202549,5021.380859,12.279534
,2105,338796.998672,4045191.843654,2.918225,32.000000,31.000000,25.000000,28.000000,7.133596,5447.324707,12.848432
,2106,279463.176754,4035012.677719,6.612608,23.000000,26.000000,23.000000,26.000000,8.330516,5490.593750,12.816542
,2107,322234.010415,4024884.917085,28.170766,29.000000,32.000000,29.000000,33.000000,5.089420,6058.779785,15.940166
,2108,255585.442860,3993081.167395,6.201221,19.000000,24.000000,20.000000,22.000000,7.391381,4428.987304,10.409848
,2109,263332.615450,3973807.975748,162.232879,25.000000,20.000000,33.000000,34.000000,2.422384,2830.420898,8.403154
,2110,309338.574995,4043187.761430,6.228147,15.000000,20.000000,19.000000,20.000000,6.087800,5715.662597,14.148038
,2111,343094.659610,4034168.082277,1.391994,27.000000,29.000000,26.000000,27.000000,7.873746,5641.820800,14.587803
,2112,251891.453587,4061356.474434,22.427413,22.000000,21.000000,18.000000,29.000000,8.536295,4234.093750,10.088193
,2113,296023.371834,4025859.531988,27.756824,26.000000,21.000000,23.000000,22.000000,9.012231,5945.322265,15.018512
,2114,340749.229569,4035013.506301,2.192458,21.000000,26.000000,25.000000,26.000000,9.467230,5490.419433,14.150794
,2115,239922.070522,4060934.984514,83.141067,25.000000,22.000000,22.000000,28.000000,4.189488,4494.819335,9.859848
,2116,293758.778763,4026473.776297,11.654272,18.000000,15.000000,18.000000,18.000000,5.461213,5350.187011,12.429533
,2117,286608.452926,3999442.774508,14.187888,26.000000,27.000000,24.000000,27.000000,6.563775,3948.361572,8.863390
,2118,328296.967695,4045121.186816,4.386189,13.000000,25.000000,19.000000,26.000000,7.537065,5581.381347,13.116148
,2119,251397.799606,3991247.853747,16.843679,18.000000,18.000000,17.000000,18.000000,4.687448,4678.596679,9.411422
,2120,248427.346069,4059297.428023,9.479251,23.000000,24.000000,29.000000,35.000000,6.515074,5065.784179,10.527172
,2121,260057.370576,3983765.690423,8.514539,21.000000,18.000000,21.000000,15.000000,6.755920,4538.074218,12.686620
,2122,273852.513395,4048168.554237,15.878075,22.000000,24.000000,19.000000,27.000000,4.053330,5562.665039,13.039378
,2123,307399.986894,4044365.318693,7.647663,20.000000,19.000000,20.000000,20.000000,6.729770,5692.782714,14.057093
,2124,320881.566063,4034915.905417,4.917419,34.000000,25.000000,28.000000,23.000000,7.305016,5935.103027,15.313001
,2125,287101.933153,4048321.099522,4.054970,17.000000,18.000000,17.000000,20.000000,9.081901,5180.038085,12.314180
,2126,249967.833839,4019120.736487,7.185298,26.000000,28.000000,25.000000,43.000000,7.679411,4607.231933,11.392525
,2127,258265.639849,4056610.151254,29.331724,34.000000,29.000000,36.000000,45.000000,5.519044,4740.545898,11.518116
,2128,327340.117215,4032340.875184,4.695208,28.000000,27.000000,28.000000,27.000000,7.836733,5852.695800,15.314575
,2129,259308.483082,4042667.744235,20.792987,29.000000,27.000000,28.000000,27.000000,4.882254,4500.105468,14.072842
,2130,289835.442154,4030901.964692,1.430955,14.000000,13.000000,14.000000,16.000000,8.069334,5264.535156,11.926383
